graph_name,pw,type
random_instance012_graph001,88,orig
random_instance012_graph002,89,orig
random_instance012_graph003,95,orig
random_instance012_graph004,91,orig
random_instance012_graph005,94,orig
random_instance013_graph001,99,orig
random_instance013_graph002,94,orig
random_instance013_graph003,101,orig
random_instance013_graph004,103,orig
random_instance013_graph005,100,orig
random_instance014_graph001,110,orig
random_instance014_graph002,116,orig
random_instance014_graph003,111,orig
random_instance014_graph004,109,orig
random_instance014_graph005,113,orig
random_instance015_graph001,114,orig
random_instance015_graph002,115,orig
random_instance015_graph003,121,orig
random_instance015_graph004,112,orig
random_instance015_graph005,118,orig
random_instance016_graph001,127,orig
random_instance016_graph002,121,orig
random_instance016_graph003,117,orig
random_instance016_graph004,125,orig
random_instance016_graph005,122,orig
random_instance017_graph001,142,orig
random_instance017_graph002,131,orig
random_instance017_graph003,140,orig
random_instance017_graph004,134,orig
random_instance017_graph005,131,orig
random_instance018_graph001,143,orig
random_instance018_graph002,139,orig
random_instance018_graph003,146,orig
random_instance018_graph004,131,orig
random_instance018_graph005,140,orig
random_instance019_graph001,147,orig
random_instance019_graph002,147,orig
random_instance019_graph003,141,orig
random_instance019_graph004,142,orig
random_instance019_graph005,151,orig
random_instance020_graph001,149,orig
random_instance020_graph002,152,orig
random_instance020_graph003,155,orig
random_instance020_graph004,151,orig
random_instance020_graph005,147,orig
random_instance021_graph001,148,orig
random_instance021_graph002,161,orig
random_instance021_graph003,160,orig
random_instance021_graph004,158,orig
random_instance021_graph005,161,orig
random_instance022_graph001,170,orig
random_instance022_graph002,176,orig
random_instance022_graph003,177,orig
random_instance022_graph004,170,orig
random_instance022_graph005,168,orig
random_instance023_graph001,169,orig
random_instance023_graph002,177,orig
random_instance023_graph003,170,orig
random_instance023_graph004,177,orig
random_instance023_graph005,190,orig
random_instance024_graph001,182,orig
random_instance024_graph002,184,orig
random_instance024_graph003,181,orig
random_instance024_graph004,181,orig
random_instance024_graph005,176,orig
random_instance025_graph001,186,orig
random_instance025_graph002,191,orig
random_instance025_graph003,189,orig
random_instance025_graph004,190,orig
random_instance025_graph005,198,orig
random_instance026_graph001,204,orig
random_instance026_graph002,197,orig
random_instance026_graph003,193,orig
random_instance026_graph004,194,orig
random_instance026_graph005,200,orig
random_instance027_graph001,198,orig
random_instance027_graph002,211,orig
random_instance027_graph003,211,orig
random_instance027_graph004,214,orig
random_instance027_graph005,210,orig
random_instance028_graph001,215,orig
random_instance028_graph002,210,orig
random_instance028_graph003,218,orig
random_instance028_graph004,210,orig
random_instance028_graph005,217,orig
random_instance029_graph001,223,orig
random_instance029_graph002,210,orig
random_instance029_graph003,221,orig
random_instance029_graph004,222,orig
random_instance029_graph005,222,orig
random_instance030_graph001,238,orig
random_instance030_graph002,233,orig
random_instance030_graph003,230,orig
random_instance030_graph004,230,orig
random_instance030_graph005,230,orig
random_instance031_graph001,236,orig
random_instance031_graph002,236,orig
random_instance031_graph003,231,orig
random_instance031_graph004,234,orig
random_instance031_graph005,234,orig
random_instance032_graph001,249,orig
random_instance032_graph002,240,orig
random_instance032_graph003,238,orig
random_instance032_graph004,248,orig
random_instance032_graph005,247,orig
random_instance033_graph001,264,orig
random_instance033_graph002,255,orig
random_instance033_graph003,249,orig
random_instance033_graph004,266,orig
random_instance033_graph005,249,orig
random_instance034_graph001,260,orig
random_instance034_graph002,265,orig
random_instance034_graph003,264,orig
random_instance034_graph004,254,orig
random_instance034_graph005,255,orig
random_instance035_graph001,266,orig
random_instance035_graph002,271,orig
random_instance035_graph003,271,orig
random_instance035_graph004,252,orig
random_instance035_graph005,261,orig
random_instance036_graph001,272,orig
random_instance036_graph002,271,orig
random_instance036_graph003,268,orig
random_instance036_graph004,284,orig
random_instance036_graph005,278,orig
random_instance037_graph001,276,orig
random_instance037_graph002,279,orig
random_instance037_graph003,281,orig
random_instance037_graph004,285,orig
random_instance037_graph005,281,orig
random_instance038_graph001,302,orig
random_instance038_graph002,288,orig
random_instance038_graph003,291,orig
random_instance038_graph004,293,orig
random_instance038_graph005,304,orig
random_instance039_graph001,303,orig
random_instance039_graph002,292,orig
random_instance039_graph003,300,orig
random_instance039_graph004,290,orig
random_instance039_graph005,298,orig
random_instance040_graph001,296,orig
random_instance040_graph002,305,orig
random_instance040_graph003,302,orig
random_instance040_graph004,307,orig
random_instance040_graph005,300,orig
1-FullIns_3,11,opt
1-FullIns_4,32,opt
1-Insertions_4,21,opt
2-FullIns_3,15,opt
2-Insertions_3,9,opt
3-FullIns_3,20,opt
3-Insertions_3,11,opt
4-FullIns_3,24,opt
4-Insertions_3,13,opt
david,13,opt
DSJC1000.9,990,opt
DSJC125.5,108,opt
DSJC125.9,119,opt
DSJC250.9,243,opt
DSJC500.9,492,opt
DSJR500.1c,485,opt
DSJR500.5,246,opt
games120,32,opt
grid004x004,4,opt
grid010x010,10,opt
hc-power-004-002,5,opt
hc-power-005-002,5,opt
hc-power-006-002,5,opt
hc-power-007-002,5,opt
hc-power-008-002,5,opt
hc-power-009-002,5,opt
hc-power-010-002,5,opt
hc-power-011-002,5,opt
hc-power-012-002,5,opt
hc-power-013-002,5,opt
hc-power-014-002,5,opt
hc-power-015-002,5,opt
hc-power-016-002,5,opt
hc-power-017-002,5,opt
hc-power-018-002,5,opt
hc-power-019-002,5,opt
hc-power-020-002,5,opt
hc-power-11,4,opt
hc-power-12,5,opt
hc-square-004-002,4,opt
hc-square-005-002,4,opt
hc-square-006-002,4,opt
hc-square-007-002,4,opt
hc-square-008-002,4,opt
hc-square-009-002,4,opt
hc-square-01,3,opt
hc-square-010-002,4,opt
hc-square-011-002,4,opt
hc-square-012-002,4,opt
hc-square-013-002,4,opt
hc-square-014-002,4,opt
hc-square-015-002,4,opt
hc-square-016-002,4,opt
hc-square-017-002,4,opt
hc-square-018-002,4,opt
hc-square-019-002,4,opt
hc-square-02,4,opt
hc-square-020-002,4,opt
hc-toyno-01,3,opt
hc-toyyes-01,2,opt
huck,10,opt
latin_square_10,851,opt
LGC_exp_instance001,3,opt
LGC_exp_instance002,3,opt
LGC_exp_instance003,4,opt
LGC_exp_instance004,5,opt
LGC_exp_instance005,6,opt
LGC_exp_instance006,7,opt
miles1000,49,opt
miles1500,77,opt
miles500,22,opt
miles750,36,opt
mug100_1,5,opt
mug100_25,6,opt
mug88_1,5,opt
mug88_25,5,opt
myciel3,5,opt
myciel4,10,opt
myciel5,20,opt
myciel6,38,opt
ph-03-02,5,opt
ph-03-03,7,opt
ph-04-03,9,opt
ph-04-04,10,opt
queen008x008,45,opt
queen010x010,72,opt
queen10_10,72,opt
queen11_11,87,opt
queen5_5,18,opt
queen6_6,25,opt
queen7_7,35,opt
queen8_12,65,opt
queen8_8,45,opt
queen9_9,58,opt
random_instance001_graph001,6,opt
random_instance001_graph002,6,opt
random_instance001_graph003,7,opt
