graph_name,vertices,edges,dat_file,tokens,independent_sets,reconfiguration_sequence_length,pw_opt,pw_heur,pw_orig,cpu_time_opt,cpu_time_heur,cpu_time_orig,wallclock_time_opt,wallclock_time_heur,wallclock_time_orig,max_memory_opt,max_memory_heur,max_memory_orig,zdd_time_opt,zdd_time_heur,zdd_time_orig,zdd_size_opt,zdd_size_heur,zdd_size_orig,solved?_opt,solved?_heur,solved?_orig,error_opt,error_heur,error_orig,cpu_time_opt_preprocess,cpu_time_heur_preprocess,wallclock_time_opt_preprocess,wallclock_time_heur_preprocess,max_memory_opt_preprocess,max_memory_heur_preprocess,solved?_opt_preprocess,solved?_heur_preprocess
le450_15c,450,16680,le450_15c_02,40,,,,358,420,,1796.7,1796.2,,1800.42,1800.48,,133730392,144215272,,,,,,,0,0,0,,,,,2.94,,2.0,,4893128,0,1
le450_15d,450,16750,le450_15d_01,40,,,,362,419,,7177.24,7181.44,,7201.0,7204.0,,290767324,554131936,,,,,,,0,0,0,,,,,2.94,,2.03,,4896700,0,1
le450_15d,450,16750,le450_15d_02,40,,,,362,419,,7177.9897,7181.6304,,7201.0,7204.0,,291652868,546565936,,,,,,,0,0,0,,,,,2.94,,2.03,,4896700,0,1
le450_25a,450,8260,le450_25a_01,91,,,,244,360,,1796.64,1796.4,,1800.41,1800.45,,134597748,144437656,,,,,,,0,0,0,,,,,2.85,,1.98,,4881824,0,1
le450_25a,450,8260,le450_25a_02,90,,,,244,360,,1796.6699,1796.38,,1800.41,1800.49,,134697068,144467572,,,,,,,0,0,0,,,,,2.85,,1.98,,4881824,0,1
le450_25b,450,8263,le450_25b_01,78,,,,253,361,,1796.7001,1796.33,,1800.41,1800.49,,134137680,145237816,,,,,,,0,0,0,,,,,2.9,,2.0,,4882628,0,1
le450_25b,450,8263,le450_25b_02,77,,,,253,361,,1796.75,1796.28,,1800.41,1800.48,,134131492,145347988,,,,,,,0,0,0,,,,,2.9,,2.0,,4882628,0,1
le450_25c,450,17343,le450_25c_01,47,,,,327,411,,7186.07,7188.2197,,7207.0,7210.0,,280873588,538852796,,,,,,,0,0,0,,,,,2.99,,2.03,,4899144,0,1
le450_25c,450,17343,le450_25c_02,46,,,,327,411,,7184.9697,7181.6,,7207.0,7205.0,,282008032,546489412,,,,,,,0,0,0,,,,,2.99,,2.03,,4899144,0,1
le450_25d,450,17425,le450_25d_01,43,,,,344,416,,7187.45,7182.6904,,7207.0,7204.0,,281604176,550723056,,,,,,,0,0,0,,,,,2.98,,2.04,,4893856,0,1
